subject_id,tpd_pre,tpd_anti_shia_pre,tpd_post,tpd_anti_shia_post,week_pre,week_anti_shia_pre,week_post,week_anti_shia_post,two_weeks_pre,two_weeks_anti_shia_pre,two_weeks_post,two_weeks_anti_shia_post,month_pre,month_anti_shia_pre,month_post,month_anti_shia_post,treatment_date,treatment_num,treatment_text,followers_count,anti_shia_friends_count,loc_qual,gcc,yemen,iraq,syria,conflict
131,0,0,3,0,7,0,17,0,23,0,35,0,48,0,76,0,2/2/18,3,يقول عدد كبير من الزعماء السياسيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,158,26,Saudi,TRUE,FALSE,FALSE,FALSE,0
132,8,2,5,0,24,4,15,1,7,5,34,0,48,4,NA,NA,2/2/18,4,يقول عدد كبير من الزعماء الدينيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,655,1,NA,FALSE,FALSE,FALSE,FALSE,0
133,109,3,57,0,132,2,81,0,105,1,92,0,132,7,126,0,2/2/18,4,يقول عدد كبير من الزعماء الدينيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,50,245,Yemen,FALSE,TRUE,FALSE,FALSE,1
134,4,0,21,0,34,1,79,0,54,1,45,0,139,1,248,1,2/2/18,0,NA,79,15,Saudi,TRUE,FALSE,FALSE,FALSE,0
135,0,0,2,0,4,0,18,3,10,4,37,1,80,8,81,10,2/2/18,5,هذا الكلام الطائفي يزرع الفتنة.,103,71,Yemen,FALSE,TRUE,FALSE,FALSE,1
136,80,0,70,3,410,3,209,9,557,12,347,17,884,18,477,20,2/2/18,5,هذا الكلام الطائفي يزرع الفتنة.,2120,40,Yemen,FALSE,TRUE,FALSE,FALSE,1
137,4,1,2,0,3,0,1,0,10,2,9,1,33,0,40,0,2/2/18,4,يقول عدد كبير من الزعماء الدينيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,754,169,Algeria,FALSE,FALSE,FALSE,FALSE,0
138,14,0,5,0,37,0,27,1,49,0,39,1,53,0,NA,NA,2/2/18,0,NA,34,1,Yemen,FALSE,TRUE,FALSE,FALSE,1
139,21,0,13,0,61,0,53,0,102,0,94,0,174,0,143,0,2/2/18,3,يقول عدد كبير من الزعماء السياسيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,202,115,UAE,TRUE,FALSE,FALSE,FALSE,0
140,0,0,1,0,3,0,4,0,5,0,6,1,12,0,11,1,2/2/18,3,يقول عدد كبير من الزعماء السياسيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,62,34,GCC,TRUE,FALSE,FALSE,FALSE,0
141,0,0,0,0,1,0,2,0,0,0,1,0,5,0,3,0,2/2/18,5,هذا الكلام الطائفي يزرع الفتنة.,972,73,Saudi,TRUE,FALSE,FALSE,FALSE,0
142,0,0,2,0,5,0,4,0,3,0,1,0,24,0,26,0,2/2/18,2,هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,1792,30,Saudi,TRUE,FALSE,FALSE,FALSE,0
143,21,1,12,3,32,3,31,7,32,3,48,7,73,0,NA,NA,2/2/18,5,هذا الكلام الطائفي يزرع الفتنة.,164,1,Saudi,TRUE,FALSE,FALSE,FALSE,0
144,3,0,4,0,12,0,5,0,16,0,12,1,31,0,26,1,2/2/18,1,هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,291,188,Saudi,TRUE,FALSE,FALSE,FALSE,0
145,0,0,0,0,14,0,6,0,16,0,23,1,53,0,61,1,2/2/18,2,هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,205,1,GCC,TRUE,FALSE,FALSE,FALSE,0
146,0,0,3,0,4,0,14,0,25,0,12,0,42,0,88,0,2/2/18,3,يقول عدد كبير من الزعماء السياسيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,8180,322,Yemen,FALSE,TRUE,FALSE,FALSE,1
147,0,0,1,0,4,0,7,2,9,0,8,2,52,0,54,15,2/2/18,3,يقول عدد كبير من الزعماء السياسيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,1821,354,Scotland,FALSE,FALSE,FALSE,FALSE,0
148,17,2,27,2,24,3,43,10,38,16,27,18,98,50,87,18,2/2/18,3,يقول عدد كبير من الزعماء السياسيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,16,4,Yemen,FALSE,TRUE,FALSE,FALSE,1
149,1,0,0,0,6,0,1,0,8,0,5,1,15,0,7,1,2/2/18,3,يقول عدد كبير من الزعماء السياسيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,108,18,GCC,TRUE,FALSE,FALSE,FALSE,0
150,5,1,3,0,22,1,14,0,33,1,19,0,54,2,84,0,2/2/18,5,هذا الكلام الطائفي يزرع الفتنة.,118,39,Saudi,TRUE,FALSE,FALSE,FALSE,0
151,0,0,1,0,3,0,1,0,2,0,4,0,6,0,9,0,2/2/18,1,هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,338,1,GCC,TRUE,FALSE,FALSE,FALSE,0
152,7,0,15,0,32,0,52,0,48,0,46,1,81,0,82,1,2/2/18,3,يقول عدد كبير من الزعماء السياسيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,1268,4,Kuwait,TRUE,FALSE,FALSE,FALSE,0
153,4,1,1,0,4,1,3,0,6,2,5,4,15,9,10,0,2/2/18,4,يقول عدد كبير من الزعماء الدينيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,15,4,Iraq,FALSE,FALSE,TRUE,FALSE,1
154,54,0,26,0,83,0,85,0,83,0,100,0,154,0,140,0,2/2/18,2,هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,27,1,Yemen,FALSE,TRUE,FALSE,FALSE,1
155,10,0,7,0,30,0,29,0,26,0,NA,NA,84,0,NA,NA,2/2/18,1,هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,2574,976,NA,FALSE,FALSE,FALSE,FALSE,0
156,3,0,1,0,10,0,2,0,21,0,11,0,35,0,30,0,2/2/18,1,هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,1370,363,UK,FALSE,FALSE,FALSE,FALSE,0
157,31,0,15,0,94,3,60,0,65,4,47,2,160,17,NA,NA,2/2/18,0,NA,1557,4277,NA,FALSE,FALSE,FALSE,FALSE,0
158,19,0,14,0,98,0,22,0,126,0,78,0,205,0,198,0,2/2/18,3,يقول عدد كبير من الزعماء السياسيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,31,7,GCC,TRUE,FALSE,FALSE,FALSE,0
159,9,0,25,0,17,1,98,0,48,3,59,5,166,1,257,3,2/2/18,4,يقول عدد كبير من الزعماء الدينيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,283,31,Iraq,FALSE,FALSE,TRUE,FALSE,1
160,6,1,12,2,14,2,23,2,24,3,17,8,63,6,70,10,2/2/18,1,هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,68,3,UAE,TRUE,FALSE,FALSE,FALSE,0
161,25,0,19,0,79,0,53,0,104,0,54,0,170,0,81,0,2/2/18,1,هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,1005,15,Yemen,FALSE,TRUE,FALSE,FALSE,1
162,85,0,182,0,249,0,293,0,310,0,223,1,919,0,692,1,2/2/18,1,هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,5900,4,Saudi,TRUE,FALSE,FALSE,FALSE,0
163,0,0,1,0,3,0,1,0,3,0,4,0,9,0,6,0,2/2/18,0,NA,304,74,Saudi,TRUE,FALSE,FALSE,FALSE,0
164,2,0,0,0,8,0,5,0,9,0,4,0,13,0,35,0,2/2/18,3,يقول عدد كبير من الزعماء السياسيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,20,2,GCC,TRUE,FALSE,FALSE,FALSE,0
165,40,0,77,4,178,10,177,4,226,11,172,6,364,19,514,7,2/2/18,1,هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,649,596,Yemen,FALSE,TRUE,FALSE,FALSE,1
166,20,0,2,0,15,0,37,0,69,0,118,2,154,6,321,2,2/2/18,1,هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,121,12,Egypt,FALSE,FALSE,FALSE,FALSE,0
167,3,1,3,0,13,5,14,3,31,7,18,4,72,28,43,16,2/2/18,1,هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,141,107,Saudi,TRUE,FALSE,FALSE,FALSE,0
168,17,0,31,0,36,0,68,1,20,0,47,1,105,6,87,1,2/2/18,1,هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,198,18,Oman,FALSE,FALSE,FALSE,FALSE,0
169,0,0,0,0,1,0,0,0,0,0,1,0,0,2,1,0,2/2/18,0,NA,612,92,Yemen,FALSE,TRUE,FALSE,FALSE,1
170,4,1,5,0,20,1,16,0,25,8,28,0,42,15,76,8,2/2/18,5,هذا الكلام الطائفي يزرع الفتنة.,2326,374,GCC,TRUE,FALSE,FALSE,FALSE,0
171,3,0,3,0,9,0,17,0,19,0,12,1,42,0,53,1,2/2/18,5,هذا الكلام الطائفي يزرع الفتنة.,885,131,GCC,TRUE,FALSE,FALSE,FALSE,0
172,1,0,1,1,5,1,5,1,9,1,12,3,21,2,33,5,2/2/18,1,هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,473,354,GCC,TRUE,FALSE,FALSE,FALSE,0
173,2,1,1,0,5,1,12,0,11,2,18,0,36,14,22,0,2/2/18,4,يقول عدد كبير من الزعماء الدينيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,28,39,Saudi,TRUE,FALSE,FALSE,FALSE,0
174,1,1,5,0,2,1,2,1,2,3,2,1,2,1,3,1,2/2/18,5,هذا الكلام الطائفي يزرع الفتنة.,2,1,Saudi,TRUE,FALSE,FALSE,FALSE,0
175,5,0,10,1,17,0,34,2,35,1,16,4,73,4,56,4,2/2/18,3,يقول عدد كبير من الزعماء السياسيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,207,157,Yemen,FALSE,TRUE,FALSE,FALSE,1
176,19,0,28,0,56,0,76,0,82,3,49,0,125,4,187,0,2/2/18,2,هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,135,78,Yemen,FALSE,TRUE,FALSE,FALSE,1
177,3,1,3,0,6,2,10,2,7,2,19,4,49,10,52,5,2/2/18,0,NA,243,91,Saudi,TRUE,FALSE,FALSE,FALSE,0
178,2,1,15,0,13,1,5,3,24,2,5,3,77,5,99,4,2/2/18,1,هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,138,13,GCC,TRUE,FALSE,FALSE,FALSE,0
179,32,0,22,0,24,2,52,0,63,3,21,2,71,5,NA,NA,2/2/18,0,NA,286,1,NA,FALSE,FALSE,FALSE,FALSE,0
180,0,1,9,0,23,2,20,0,35,4,20,0,107,3,20,0,2/2/18,4,يقول عدد كبير من الزعماء الدينيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,228,50,Saudi,TRUE,FALSE,FALSE,FALSE,0
181,3,1,4,0,5,1,6,0,7,1,7,0,9,2,NA,NA,2/2/18,4,يقول عدد كبير من الزعماء الدينيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,546,1,GCC,TRUE,FALSE,FALSE,FALSE,0
182,12,0,27,0,87,0,114,0,139,1,272,12,197,1,463,14,2/2/18,5,هذا الكلام الطائفي يزرع الفتنة.,147,84,Yemen,FALSE,TRUE,FALSE,FALSE,1
183,4,3,5,0,13,2,5,2,24,1,3,1,68,19,40,0,2/2/18,5,هذا الكلام الطائفي يزرع الفتنة.,20,16,Egypt,FALSE,FALSE,FALSE,FALSE,0
184,0,0,4,0,10,0,12,0,9,0,11,0,33,0,18,0,2/2/18,1,هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,413,14,GCC,TRUE,FALSE,FALSE,FALSE,0
185,0,0,0,0,90,2,87,2,89,4,78,4,102,2,88,0,2/2/18,5,هذا الكلام الطائفي يزرع الفتنة.,17,6,Saudi,TRUE,FALSE,FALSE,FALSE,0
186,17,0,6,0,52,0,38,0,84,0,49,0,131,0,175,0,2/2/18,3,يقول عدد كبير من الزعماء السياسيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,423,14,NA,FALSE,FALSE,FALSE,FALSE,0
187,3,0,9,3,18,1,17,5,26,3,15,7,54,3,87,10,2/2/18,3,يقول عدد كبير من الزعماء السياسيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,19,3,Saudi,TRUE,FALSE,FALSE,FALSE,0
188,1,0,2,0,31,5,17,0,12,8,36,5,84,8,85,6,2/2/18,1,هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,52,1,Saudi,TRUE,FALSE,FALSE,FALSE,0
189,47,0,55,0,154,0,191,2,97,0,158,5,305,0,445,11,2/2/18,3,يقول عدد كبير من الزعماء السياسيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,74,30,Saudi,TRUE,FALSE,FALSE,FALSE,0
190,12,7,3,1,16,8,11,7,23,12,24,16,92,44,70,45,2/2/18,3,يقول عدد كبير من الزعماء السياسيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,26,18,GCC,TRUE,FALSE,FALSE,FALSE,0
191,24,1,8,0,66,2,46,0,45,2,44,2,66,2,69,2,2/3/18,0,NA,1539,98,GCC,TRUE,FALSE,FALSE,FALSE,0
192,0,0,2,0,5,0,8,3,9,0,9,3,12,0,40,16,2/3/18,3,يقول عدد كبير من الزعماء السياسيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,88,85,Yemen,FALSE,TRUE,FALSE,FALSE,1
193,2,0,4,0,26,0,18,0,39,0,17,0,41,0,45,0,2/3/18,3,يقول عدد كبير من الزعماء السياسيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,44,7,Saudi,TRUE,FALSE,FALSE,FALSE,0
194,23,0,42,5,107,3,118,6,166,2,154,11,223,19,NA,NA,2/3/18,5,هذا الكلام الطائفي يزرع الفتنة.,91,60,GCC,TRUE,FALSE,FALSE,FALSE,0
195,10,0,5,0,21,0,15,0,19,0,16,0,33,0,40,6,2/3/18,5,هذا الكلام الطائفي يزرع الفتنة.,94,125,Yemen,FALSE,TRUE,FALSE,FALSE,1
196,0,0,29,15,59,0,58,26,37,0,53,26,93,0,46,26,2/3/18,0,NA,145,12,GCC,TRUE,FALSE,FALSE,FALSE,0
197,4,0,10,1,9,0,16,1,6,0,12,1,27,1,66,1,2/3/18,0,NA,668,16,Saudi,TRUE,FALSE,FALSE,FALSE,0
198,21,0,11,0,70,1,37,0,72,1,66,0,129,1,83,0,2/3/18,1,هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,13,30,Yemen,FALSE,TRUE,FALSE,FALSE,1
199,2,0,0,0,5,0,4,0,7,0,2,0,15,2,18,0,2/3/18,1,هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,900,119,Saudi,TRUE,FALSE,FALSE,FALSE,0
200,57,6,48,7,123,16,186,32,138,19,184,51,238,19,376,57,2/3/18,0,NA,826,841,Yemen,FALSE,TRUE,FALSE,FALSE,1
201,5,1,3,0,9,1,5,0,16,1,23,0,26,12,29,0,2/3/18,4,يقول عدد كبير من الزعماء الدينيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,16,11,NA,FALSE,FALSE,FALSE,FALSE,0
202,23,0,42,5,107,3,118,6,66,8,144,11,623,19,567,20,2/3/18,3,يقول عدد كبير من الزعماء السياسيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,372,141,GCC,TRUE,FALSE,FALSE,FALSE,0
203,9,0,10,0,23,0,55,0,34,0,25,0,107,0,82,3,2/3/18,1,هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,60,64,Yemen,FALSE,TRUE,FALSE,FALSE,1
204,0,0,3,0,4,0,10,6,12,0,22,10,35,0,56,16,2/3/18,2,هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,277,28,GCC,TRUE,FALSE,FALSE,FALSE,0
205,2,1,5,0,14,1,19,0,40,4,26,0,60,5,66,0,2/3/18,5,هذا الكلام الطائفي يزرع الفتنة.,238,9,Kuwait,TRUE,FALSE,FALSE,FALSE,0
206,4,1,4,0,6,1,4,0,3,1,5,0,10,7,16,0,2/3/18,4,يقول عدد كبير من الزعماء الدينيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,121,9,GCC,TRUE,FALSE,FALSE,FALSE,0
207,14,0,0,0,37,0,25,1,29,0,21,1,58,0,45,1,2/3/18,0,NA,31,75,GCC,TRUE,FALSE,FALSE,FALSE,0
208,1,0,0,0,4,0,1,0,6,2,NA,NA,39,7,NA,NA,2/3/18,4,يقول عدد كبير من الزعماء الدينيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,600,1,France,FALSE,FALSE,FALSE,FALSE,0
209,25,0,38,0,117,0,210,0,188,0,123,4,292,0,354,9,2/3/18,3,يقول عدد كبير من الزعماء السياسيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,67,167,Canada,FALSE,FALSE,FALSE,FALSE,0
210,28,0,23,0,60,1,70,1,57,2,49,2,125,2,206,6,2/3/18,0,NA,437,82,Syria,FALSE,FALSE,FALSE,TRUE,1
211,11,1,2,0,13,1,4,1,8,1,4,1,13,1,5,0,2/3/18,5,هذا الكلام الطائفي يزرع الفتنة.,5,1,NA,FALSE,FALSE,FALSE,FALSE,0
212,1,0,2,1,51,4,81,3,110,4,83,3,278,4,301,5,2/3/18,1,هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,1246,37,Yemen,FALSE,TRUE,FALSE,FALSE,1
213,8,0,9,2,14,1,46,4,14,1,41,6,94,1,74,9,2/3/18,2,هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,4071,10,GCC,TRUE,FALSE,FALSE,FALSE,0
214,12,0,34,0,72,0,121,0,82,0,85,0,134,0,217,3,2/3/18,3,يقول عدد كبير من الزعماء السياسيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,8,1,GCC,TRUE,FALSE,FALSE,FALSE,0
215,50,0,49,0,95,0,125,0,152,1,84,0,330,1,261,0,2/3/18,1,هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,324,38,Yemen,FALSE,TRUE,FALSE,FALSE,1
216,0,0,0,0,1,0,14,0,12,0,22,0,30,0,44,1,2/3/18,0,NA,159,5,Saudi,TRUE,FALSE,FALSE,FALSE,0
217,3,0,2,1,2,0,2,2,2,0,3,2,10,1,5,3,2/3/18,5,هذا الكلام الطائفي يزرع الفتنة.,12,3,GCC,TRUE,FALSE,FALSE,FALSE,0
218,3,0,8,0,10,0,16,1,19,0,25,1,54,0,39,3,2/3/18,2,هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,86,29,Syria,FALSE,FALSE,FALSE,TRUE,1
219,32,2,28,0,32,2,84,0,49,3,27,0,105,4,53,2,2/3/18,4,يقول عدد كبير من الزعماء الدينيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,1877,518,Saudi,TRUE,FALSE,FALSE,FALSE,0
220,0,0,2,1,17,3,15,0,17,5,21,2,97,0,54,3,2/3/18,5,هذا الكلام الطائفي يزرع الفتنة.,379,228,Lebanon,FALSE,FALSE,FALSE,FALSE,0
221,8,2,9,0,50,3,28,0,53,3,49,0,163,10,91,0,2/3/18,4,يقول عدد كبير من الزعماء الدينيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,12,13,GCC,TRUE,FALSE,FALSE,FALSE,0
222,0,0,8,0,13,0,36,0,35,0,NA,NA,56,0,NA,NA,2/3/18,3,يقول عدد كبير من الزعماء السياسيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,1045,48,Sudan,FALSE,FALSE,FALSE,FALSE,0
223,9,0,15,2,60,1,51,4,87,1,44,5,226,5,157,10,2/3/18,5,هذا الكلام الطائفي يزرع الفتنة.,3098,241,Saudi,TRUE,FALSE,FALSE,FALSE,0
224,23,0,3,0,87,10,32,5,129,12,119,10,144,14,229,20,2/3/18,0,NA,2521,216,GCC,TRUE,FALSE,FALSE,FALSE,0
225,31,2,14,0,72,5,73,1,92,6,82,5,326,8,450,16,2/3/18,2,هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,111,1,GCC,TRUE,FALSE,FALSE,FALSE,0
226,82,1,15,3,45,2,54,4,38,3,54,6,82,20,65,35,2/3/18,5,هذا الكلام الطائفي يزرع الفتنة.,239,165,GCC,TRUE,FALSE,FALSE,FALSE,0
227,0,0,0,0,4,0,3,0,2,0,NA,NA,8,0,NA,NA,2/3/18,3,يقول عدد كبير من الزعماء السياسيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,49,62,GCC,TRUE,FALSE,FALSE,FALSE,0
228,3,2,0,0,5,2,5,0,14,4,6,0,27,2,13,0,2/3/18,4,يقول عدد كبير من الزعماء الدينيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,2314,112,GCC,TRUE,FALSE,FALSE,FALSE,0
229,28,4,19,2,75,9,61,11,98,13,71,11,225,32,141,12,2/3/18,3,يقول عدد كبير من الزعماء السياسيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,5164,451,Saudi,TRUE,FALSE,FALSE,FALSE,0
230,6,2,7,1,16,2,9,1,26,2,19,2,45,2,56,2,2/3/18,1,هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,1695,222,GCC,TRUE,FALSE,FALSE,FALSE,0
231,12,1,2,0,13,1,16,0,23,1,14,0,36,1,28,0,2/3/18,0,NA,1133,180,Saudi,TRUE,FALSE,FALSE,FALSE,0
232,14,3,17,2,16,5,14,2,23,6,17,2,30,6,18,0,2/3/18,4,يقول عدد كبير من الزعماء الدينيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,95,19,Saudi,TRUE,FALSE,FALSE,FALSE,0
233,8,0,6,0,48,0,29,0,32,0,42,0,55,3,81,1,2/3/18,1,هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,1524,130,Saudi,TRUE,FALSE,FALSE,FALSE,0
234,12,0,13,0,49,0,17,0,29,0,21,0,86,1,92,0,2/3/18,2,هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,79,126,Yemen,FALSE,TRUE,FALSE,FALSE,1
235,18,0,35,0,100,0,123,0,103,0,112,0,359,0,382,3,2/3/18,1,هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,2038,75,Saudi,TRUE,FALSE,FALSE,FALSE,0
236,3,2,1,0,5,1,9,0,11,2,10,0,17,2,14,0,2/3/18,4,يقول عدد كبير من الزعماء الدينيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,1494,49,GCC,TRUE,FALSE,FALSE,FALSE,0
237,21,0,12,0,32,3,31,0,32,3,48,0,54,3,50,0,2/3/18,2,هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,2,1,Saudi,TRUE,FALSE,FALSE,FALSE,0
238,1,0,4,0,22,0,16,0,9,0,24,0,35,0,40,0,2/4/18,3,يقول عدد كبير من الزعماء السياسيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,8,1,Saudi,TRUE,FALSE,FALSE,FALSE,0
239,3,1,2,0,3,1,4,0,5,1,2,0,5,1,3,0,2/4/18,5,هذا الكلام الطائفي يزرع الفتنة.,58,4,Saudi,TRUE,FALSE,FALSE,FALSE,0
240,8,0,26,1,36,4,26,3,34,6,54,3,93,6,109,3,2/4/18,2,هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,142,42,Yemen,FALSE,TRUE,FALSE,FALSE,1
241,0,0,0,0,4,0,6,2,3,0,6,2,5,0,16,2,2/4/18,1,هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,248,36,GCC,TRUE,FALSE,FALSE,FALSE,0
242,9,0,28,0,52,1,80,0,68,1,72,2,108,1,142,8,2/4/18,1,هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,3031,1,GCC,TRUE,FALSE,FALSE,FALSE,0
243,9,1,20,1,39,9,48,2,23,19,35,7,52,35,NA,NA,2/4/18,2,هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,73,102,GCC,TRUE,FALSE,FALSE,FALSE,0
244,3,0,4,0,15,0,23,1,23,0,25,1,42,2,84,8,2/4/18,0,NA,263,16,Saudi,TRUE,FALSE,FALSE,FALSE,0
245,27,1,37,1,33,1,70,1,54,1,43,3,104,1,148,3,2/4/18,3,يقول عدد كبير من الزعماء السياسيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,1,1,NA,FALSE,FALSE,FALSE,FALSE,0
246,8,0,6,0,24,2,19,0,16,2,28,5,94,4,67,8,2/4/18,2,هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,28,10,Ireland,FALSE,FALSE,FALSE,FALSE,0
247,3,0,0,0,14,0,21,2,19,0,21,2,66,0,65,2,2/4/18,1,هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,86,5,Saudi,TRUE,FALSE,FALSE,FALSE,0
248,24,2,21,4,137,8,139,5,121,18,75,9,205,43,310,39,2/4/18,3,يقول عدد كبير من الزعماء السياسيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,138,6,NA,FALSE,FALSE,FALSE,FALSE,0
249,27,1,45,0,144,1,87,0,143,2,113,0,692,14,561,41,2/4/18,2,هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,9448,923,Syria,FALSE,FALSE,FALSE,TRUE,1
250,41,9,64,3,121,25,142,12,137,32,84,14,205,76,212,20,2/4/18,5,هذا الكلام الطائفي يزرع الفتنة.,54,30,GCC,TRUE,FALSE,FALSE,FALSE,0
251,17,0,12,0,36,0,74,0,53,0,30,0,121,0,NA,NA,2/4/18,0,NA,4266,1,NA,FALSE,FALSE,FALSE,FALSE,0
252,5,0,2,0,11,0,12,1,16,0,25,0,47,0,31,0,2/4/18,5,هذا الكلام الطائفي يزرع الفتنة.,123,6,Saudi,TRUE,FALSE,FALSE,FALSE,0
253,42,0,58,0,55,0,102,0,75,0,166,0,93,0,300,0,2/4/18,2,هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,473,9,GCC,TRUE,FALSE,FALSE,FALSE,0
254,53,0,42,1,141,0,110,2,170,4,126,2,655,16,482,5,2/4/18,3,يقول عدد كبير من الزعماء السياسيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,133,5,GCC,TRUE,FALSE,FALSE,FALSE,0
255,2,2,3,0,5,0,4,0,14,2,10,0,12,2,13,0,2/4/18,4,يقول عدد كبير من الزعماء الدينيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,2807,200,GCC,TRUE,FALSE,FALSE,FALSE,0
256,0,0,0,0,2,0,13,0,0,0,5,0,19,0,14,0,2/4/18,3,يقول عدد كبير من الزعماء السياسيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,152,54,Kuwait,TRUE,FALSE,FALSE,FALSE,0
257,30,1,43,1,107,2,111,1,140,4,129,2,341,5,504,8,2/4/18,3,يقول عدد كبير من الزعماء السياسيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,27,121,Yemen,FALSE,TRUE,FALSE,FALSE,1
258,1,0,2,0,6,0,5,0,15,0,13,0,45,0,29,0,2/4/18,0,NA,895,6,GCC,TRUE,FALSE,FALSE,FALSE,0
